Drive_bh:7386 income:1250.21 outcome:310.59 profit:939.62
Drive_bh:7387 income:1160.39 outcome:236.54 profit:923.85
Drive_bh:7388 income:1443.04 outcome:341.20 profit:1101.84
Drive_bh:7389 income:742.77 outcome:183.29 profit:559.48
Drive_bh:7390 income:1019.81 outcome:236.74 profit:783.06
Drive_bh:7391 income:1060.45 outcome:233.10 profit:827.35
Drive_bh:7392 income:658.29 outcome:188.22 profit:470.06
Drive_bh:7393 income:1593.88 outcome:477.43 profit:1116.45
Drive_bh:7394 income:959.62 outcome:262.25 profit:697.38
Drive_bh:7395 income:1069.86 outcome:258.24 profit:811.62
Drive_bh:7396 income:880.88 outcome:203.20 profit:677.68
Drive_bh:7397 income:1196.71 outcome:270.97 profit:925.75
Drive_bh:7398 income:516.48 outcome:134.80 profit:381.68
Drive_bh:7399 income:1337.50 outcome:294.09 profit:1043.41
Drive_bh:7400 income:921.09 outcome:201.37 profit:719.73
Drive_bh:7401 income:1276.88 outcome:322.47 profit:954.41
Drive_bh:7402 income:914.51 outcome:202.87 profit:711.64
Drive_bh:7403 income:1333.75 outcome:290.60 profit:1043.15
