drive_bh,time0,time1,time2,time3
(7324,709.05,786.00,918.82,1057.32)
(7325,755.82,977.70,685.69,772.66)
(7326,379.69,211.04,816.50,774.46)
(7327,354.35,1012.56,740.95,833.25)
(7328,661.56,866.71,646.94,1120.97)
(7329,0.00,609.97,895.32,854.68)
(7330,688.80,918.63,864.08,787.92)
(7331,787.86,930.59,1039.83,980.21)
(7332,952.13,984.02,864.57,644.00)
(7333,310.38,1233.82,779.74,658.72)
(7334,940.67,804.18,802.89,712.52)
(7335,176.39,905.14,967.61,741.07)
(7336,951.96,935.61,878.19,662.00)
(7337,950.53,718.52,863.77,784.47)
(7338,724.23,820.66,880.24,1034.78)
(7339,867.18,756.19,711.92,834.23)
(7340,562.12,1072.77,961.51,816.09)
(7341,780.71,1233.87,957.83,746.98)
(7342,345.56,1126.87,721.50,956.07)
(7343,958.61,950.02,1040.24,845.19)
(7344,855.32,745.56,898.58,862.95)
(7345,586.36,1205.69,1063.28,837.46)
(7346,871.96,1125.13,682.77,884.90)
(7347,802.57,799.80,864.33,978.27)
(7348,966.43,935.65,835.07,609.77)
(7349,872.08,830.99,558.02,917.25)
(7350,722.14,1125.14,738.46,827.51)
(7351,524.76,692.70,874.34,591.69)
(7352,217.54,860.54,973.99,754.52)
(7353,988.62,888.33,827.13,858.26)
(7354,970.31,716.51,701.11,771.83)
(7355,909.17,145.25,284.99,801.66)
(7356,440.18,804.35,859.94,0.00)
(7357,538.52,953.71,805.16,752.54)
(7358,895.60,840.25,766.94,809.51)
(7359,751.96,150.83,957.20,697.06)
(7360,0.00,0.00,635.86,709.89)
(7361,753.66,972.39,923.02,776.62)
(7362,933.99,288.63,779.37,539.44)
(7363,389.97,129.93,565.08,880.22)
(7364,1040.08,907.41,770.71,957.16)
(7365,745.50,832.81,674.41,886.04)
(7366,771.75,800.72,844.21,810.87)
(7367,743.55,812.34,833.56,827.71)
(7368,793.06,797.15,655.64,779.96)
(7369,0.00,714.84,794.52,750.26)
(7370,677.49,971.90,749.53,888.12)
(7371,677.57,686.89,804.06,729.33)
(7372,798.85,850.33,1067.20,845.30)
(7373,798.47,786.22,657.82,877.34)
(7374,937.74,754.54,997.57,894.39)
(7375,943.13,613.18,824.63,880.15)
(7376,724.07,795.49,928.21,851.02)
(7377,788.58,932.75,610.07,908.82)
(7378,302.06,784.61,896.49,852.82)
(7379,790.26,844.05,824.32,767.94)
(7380,700.06,1125.14,911.31,823.73)
(7381,364.95,1013.45,948.74,742.34)
(7382,759.64,788.61,761.01,815.03)
(7383,755.94,720.21,714.48,858.33)
(7384,823.58,327.82,0.00,782.84)
(7385,86.53,944.98,880.47,332.91)
(7386,833.85,865.75,887.16,820.60)
(7387,916.20,664.36,758.07,942.97)
(7388,755.88,874.43,1099.07,816.23)
(7389,552.30,814.33,1012.63,803.12)
(7390,819.74,986.34,761.02,777.45)
(7391,910.87,748.81,831.55,847.56)
(7392,580.56,820.69,833.56,741.10)
(7393,500.97,1099.83,760.49,935.12)
(7394,604.76,90.02,690.84,1017.00)
(7395,373.72,863.95,869.71,613.39)
(7396,800.53,759.71,602.35,826.59)
(7397,965.87,662.94,804.48,889.26)
(7398,832.68,1079.70,858.63,1071.13)
(7399,104.22,997.53,856.49,1006.80)
(7400,918.46,596.95,946.22,927.54)
(7401,798.38,983.12,734.00,724.85)
(7402,367.19,365.72,735.19,857.97)
(7403,338.29,935.35,725.85,763.60)
(7404,466.64,985.51,965.41,838.60)
(7405,798.50,633.87,768.62,652.77)
(7406,626.16,750.61,1055.21,710.92)
(7407,555.05,932.91,782.94,864.80)
(7408,940.08,722.63,829.69,823.71)
(7409,1018.09,997.13,638.91,996.46)
(7410,703.45,861.60,1145.29,839.53)
(7411,487.17,670.85,862.91,948.01)
(7412,1082.38,1058.58,873.49,903.88)
(7413,706.35,992.15,734.11,885.17)
(7414,906.97,710.99,743.10,885.15)
(7415,817.37,777.08,886.46,821.68)
(7416,936.25,874.24,883.32,905.62)
(7417,844.99,480.93,828.20,798.92)
(7418,354.30,833.01,935.43,803.68)
(7419,923.03,691.91,855.45,972.11)
(7420,12.70,335.03,918.98,768.67)
(7421,806.06,782.33,824.51,810.51)
(7422,710.77,136.09,814.38,824.64)
(7423,712.17,875.19,857.64,756.30)
(7424,889.14,619.56,743.20,1006.31)
(7425,98.85,35.10,1128.92,929.43)
(7426,823.95,751.29,993.91,815.19)
(7427,664.80,856.88,734.12,835.35)
(7428,801.70,873.50,887.24,1002.42)
(7429,164.50,789.66,840.12,676.94)
(7430,562.85,790.73,734.00,890.47)
(7431,841.94,770.83,899.92,365.41)
(7432,389.68,803.12,863.10,912.15)
(7433,463.37,361.09,779.36,873.16)
(7434,718.56,797.06,1056.47,920.29)
(7435,524.96,817.63,880.25,675.03)
(7436,1065.65,824.13,958.28,730.55)
(7437,922.42,767.85,940.29,943.37)
(7438,749.56,760.24,911.82,972.93)
(7439,512.07,814.74,857.80,822.37)
(7440,823.85,935.64,947.72,991.18)
(7441,842.98,767.26,864.06,887.33)
(7442,922.97,874.63,754.48,910.52)
(7443,499.57,784.08,681.45,942.32)
(7444,736.73,683.78,831.02,797.94)
(7445,724.91,662.49,734.30,961.87)
(7446,790.44,646.42,916.85,880.20)
(7447,961.18,880.69,733.99,848.02)
(7448,892.37,868.03,830.77,697.84)
(7449,555.31,945.34,833.54,877.12)
(7450,629.70,944.90,892.13,901.24)
(7451,354.61,904.71,679.88,734.65)
(7452,700.95,39.10,798.19,824.04)
(7453,767.14,879.38,1008.42,764.90)
(7454,504.55,738.14,991.00,968.52)
(7455,934.78,799.32,1024.51,993.47)
(7456,828.15,705.83,726.21,696.11)
(7457,0.00,836.60,756.31,879.34)
(7458,331.38,802.61,791.07,930.18)
(7459,1018.01,776.15,772.18,780.71)
(7460,650.96,716.84,808.62,881.90)
(7461,719.71,856.92,838.95,865.05)
(7462,803.13,671.14,820.66,770.72)
(7463,666.40,1123.07,831.93,808.48)
(7464,128.59,748.78,786.74,862.18)
(7465,508.36,847.26,774.73,709.10)
(7466,456.10,768.18,839.18,835.11)
(7467,168.55,854.13,803.11,824.20)
(7468,500.84,788.33,766.65,807.96)
(7469,359.73,615.47,834.97,1120.27)
(7470,874.09,714.34,952.49,835.98)
(7471,915.11,993.54,925.42,868.84)
(7472,876.36,735.36,697.22,838.00)
(7473,0.00,0.00,632.26,422.53)
(7474,663.62,829.26,817.70,949.71)
(7475,84.78,0.00,577.45,3310.12)
(7476,0.00,964.08,739.87,968.08)
(7477,746.03,606.09,896.63,739.41)
(7478,538.69,819.01,733.99,657.03)
(7479,224.42,734.95,785.33,976.52)
(7480,1016.22,926.03,724.75,910.49)
(7481,652.47,781.75,793.12,916.14)
(7482,726.59,855.18,719.58,737.85)
(7483,82.73,726.98,891.09,718.19)
(7484,1084.14,861.62,720.30,865.56)
(7485,0.00,0.00,772.94,874.29)
(7486,706.10,948.94,1089.77,816.72)
(7487,510.92,487.15,943.84,767.33)
(7488,0.00,563.35,717.40,940.07)
(7489,12.53,802.95,958.90,853.40)
(7490,958.44,781.93,850.16,773.90)
(7491,918.51,868.05,765.29,760.27)
(7492,548.09,762.73,832.23,900.67)
(7493,845.75,813.34,829.56,879.89)
(7494,936.26,535.32,803.81,1039.42)
(7495,664.66,799.53,757.02,810.55)
(7496,476.58,823.81,878.12,859.77)
(7497,733.49,797.14,727.94,729.65)
(7498,706.43,831.37,764.58,822.75)
(7499,700.17,707.79,992.63,827.71)
(7500,553.36,846.15,708.39,839.85)
(7501,958.74,846.98,602.35,849.32)
(7502,942.60,853.20,892.98,709.11)
(7503,948.10,645.34,685.11,826.15)
(7504,722.03,548.62,876.42,891.97)
(7505,663.63,14.82,910.19,825.46)
(7506,514.59,666.27,855.98,769.26)
(7507,814.67,920.02,799.16,911.28)
(7508,998.94,802.24,807.09,793.43)
(7509,525.10,721.55,685.15,870.43)
(7510,778.14,747.51,968.57,970.05)
(7511,913.42,761.86,804.78,887.10)
(7512,851.40,820.03,734.29,719.05)
(7513,936.10,412.01,755.15,884.07)
(7514,1017.95,912.15,933.56,821.73)
(7515,706.51,839.87,885.50,979.10)
(7516,746.68,652.22,1192.74,104.12)
(7517,792.35,754.68,817.19,834.59)
(7518,383.89,914.31,0.00,781.71)
(7519,749.81,1053.10,772.74,617.62)
(7520,490.63,154.51,643.06,791.97)
(7521,683.44,885.36,860.09,907.09)
(7522,860.97,797.81,1008.21,837.42)
(7523,386.17,1020.45,865.03,905.06)
(7524,640.63,681.07,821.15,831.14)
(7525,1050.53,643.97,732.47,834.40)
(7526,663.63,829.27,797.50,895.90)
(7527,417.96,1195.46,954.44,729.38)
(7528,337.00,925.84,284.34,867.69)
(7529,12.28,812.16,841.98,1017.84)
(7530,572.84,1069.46,896.15,923.08)
(7531,663.75,828.61,934.77,769.77)
(7532,0.00,0.00,0.00,973.55)
(7533,778.84,964.89,861.70,688.14)
(7534,724.47,661.43,941.30,837.43)
(7535,935.93,688.62,815.52,706.70)
(7536,176.46,750.95,913.84,806.86)
(7537,601.00,775.09,927.74,891.57)
(7538,891.63,878.77,814.39,719.13)
(7539,803.17,608.98,976.18,873.86)
(7540,475.58,841.25,855.96,783.77)
(7541,880.81,861.11,867.84,865.64)
(7542,787.84,873.03,826.43,907.74)
(7543,361.51,830.00,1165.86,716.22)
(7544,461.81,898.29,832.23,983.64)
(7545,801.58,1392.97,820.21,810.93)
(7546,722.30,704.32,901.54,864.14)
(7547,855.69,845.97,714.05,834.76)
(7548,475.33,800.53,830.09,925.86)
(7549,25.72,752.70,858.36,850.19)
(7550,405.09,1134.50,813.16,857.57)
(7551,745.89,760.35,735.82,613.38)
(7552,706.65,31.43,604.76,905.19)
(7553,779.21,913.23,851.93,838.05)
(7554,922.94,718.00,961.10,928.23)
(7555,710.84,879.08,825.19,744.22)
(7556,26.58,894.50,675.25,751.45)
(7557,759.15,880.05,757.78,1024.48)
(7558,857.97,737.59,813.20,838.82)
(7559,904.74,781.90,732.46,836.86)
(7560,922.37,786.11,843.02,1017.41)
(7561,153.11,844.45,394.03,920.04)
(7562,603.15,827.41,920.70,837.37)
(7563,918.67,1148.21,0.00,0.00)
(7564,360.09,932.11,947.79,599.94)
(7565,359.27,817.98,811.76,790.26)
(7566,961.69,1015.06,782.22,777.45)
(7567,571.92,1085.20,831.68,634.58)
(7568,831.42,855.58,1004.00,805.42)
(7569,493.93,828.05,849.26,754.07)
(7570,798.73,468.66,791.84,673.00)
(7571,768.81,832.66,747.82,861.68)
(7572,851.42,1072.92,853.59,948.78)
(7573,533.74,784.28,526.91,807.49)
(7574,500.50,911.94,914.38,847.01)
(7575,319.63,744.87,1048.28,908.67)
(7576,788.83,819.59,839.89,994.77)
(7577,54.40,787.35,855.61,767.51)
(7578,788.72,954.13,789.86,968.63)
(7579,892.01,901.15,1165.00,777.46)
(7580,354.54,184.36,809.13,875.49)
(7581,231.44,963.94,896.28,768.85)
(7582,918.66,778.23,965.77,886.20)
(7583,176.48,1013.48,871.69,760.76)
(7584,314.20,881.71,777.26,762.94)
(7585,803.45,890.80,723.10,822.59)
(7586,855.64,684.66,920.90,847.53)
(7587,464.83,726.29,835.48,827.26)
(7588,245.03,750.95,883.28,919.84)
(7589,319.27,1381.65,848.87,772.17)
(7590,542.08,912.33,711.03,816.99)
(7591,816.15,854.14,739.81,877.27)
(7592,963.44,718.09,680.25,911.14)
(7593,795.05,844.57,782.72,755.21)
(7594,510.86,836.57,903.02,814.83)
(7595,777.82,760.49,828.93,833.74)
(7596,875.76,988.82,863.75,770.09)
(7597,722.77,730.54,825.04,856.81)
(7598,712.33,754.36,827.11,830.69)
(7599,365.56,302.42,599.64,829.82)
(7600,710.53,830.84,768.66,826.53)
(7601,823.65,0.00,823.99,890.55)
(7602,791.47,841.28,824.31,1034.01)
(7603,891.92,883.37,837.88,838.24)
(7604,589.69,899.25,946.98,795.16)
(7605,782.51,819.10,719.11,903.35)
(7606,583.18,23.05,1033.91,733.00)
(7607,413.59,747.56,885.60,771.75)
(7608,504.51,927.34,734.84,823.95)
(7609,665.70,1122.99,846.68,1016.26)
(7610,861.91,1020.35,874.03,970.30)
(7611,493.93,1236.39,653.51,759.83)
(7612,859.54,830.07,852.02,819.63)
(7613,121.61,989.66,648.53,757.07)
(7614,104.21,814.35,864.02,983.63)
