  Drive_bh,income,outcome,profit
8744,1258.62,272.21,986.41
8745,903.14,240.11,663.03
8746,694.54,212.39,482.15
8747,929.46,224.64,704.82
8748,991.82,227.32,764.5
8749,1023.27,250.68,772.59
8750,734.46,209.32,525.14
8751,484.88,118.95,365.93
8752,1226.18,250.29,975.9
8753,960.09,258.31,701.78
8754,1312.7,306.43,1006.27
8755,647.36,211.23,436.12
8756,842.46,206.61,635.85
8757,754.24,160.48,593.76
8758,489.67,128.56,361.11
8759,194.97,48.37,146.6
8760,1449.3,314.93,1134.38
8761,1182.89,287.27,895.62
8762,977.18,225.69,751.48
8763,1016.9,242.14,774.76
8764,989.67,280.16,709.52
8765,975.71,304.48,671.23
8766,949.21,228.56,720.65
8767,518.12,162.92,355.2
8768,793.28,271.54,521.73
8769,1088.61,324.9,763.71
8770,610.45,162.12,448.33
8771,1170.49,279.79,890.71
8772,1216.49,282.06,934.43
8773,1590.45,354.96,1235.49
8774,371.09,126.72,244.36
8775,606.86,228.59,378.27
8776,398.13,101.35,296.78
8777,21.58,23.61,-2.03
8778,854.38,234.85,619.53
8779,1133.47,294.05,839.42
8780,1081.11,243.06,838.05
8781,1223.51,247.8,975.71
8782,776.97,223.24,553.72
8783,1263.89,322.3,941.6
8784,639.49,191.99,447.51
8785,64.27,59.2,5.07
8786,1051.98,275.99,775.99
8787,1494.12,318.44,1175.68
8788,1297.71,282.84,1014.87
8789,1119.15,248.04,871.11
8790,969.51,311.33,658.18
8791,1042.28,220.61,821.66
8792,1229.1,308,921.1
8793,881.73,220.17,661.56
8794,723.8,244.73,479.07
8795,14,14.98,-0.98
8796,1516.03,382.08,1133.96
8797,332.23,77.64,254.59
8798,1129.05,412.6,716.45
8799,472.68,191.4,281.28
8800,1275.34,301.28,974.06
8801,1104.79,289.64,815.15
8802,1057.39,219.31,838.09
8803,1048.6,242.18,806.42
8804,777.65,150.66,626.99
8805,985.6,287.08,698.52
8806,852.05,233.19,618.86
8807,1124.6,246.45,878.15
8808,1211.84,291,920.84
8809,682.48,178.03,504.45
8810,788.29,196.32,591.97
8811,909.71,220.58,689.13
8812,1072.09,208.88,863.2
8813,983.12,247.87,735.24
8814,966.39,222.93,743.47
8815,1306.23,273.94,1032.3
8816,1033.87,244.35,789.52
8817,1203.67,271.94,931.74
8818,799.53,300.31,499.21
8819,468.16,122.35,345.81
8820,912.4,195.06,717.33
8821,625.37,180.45,444.92
8822,460.26,178.73,281.53
8823,343.43,121.3,222.13
8824,1017.33,214.23,803.1
8825,853.23,215.65,637.58
8826,587.7,167.79,419.91
8827,1382.96,324.97,1057.99
8828,361.33,268.88,92.45
8829,1075.38,234.24,841.14
8830,1439.56,314.08,1125.48
8831,1126.82,235.27,891.55
8832,1169.51,257.84,911.67
8833,1392.73,348.07,1044.66
8834,562.22,160.55,401.67
8835,993.78,211.45,782.33
8836,877.72,195.72,682
8837,1362.26,338.66,1023.6
8838,958.34,310.42,647.92
8839,721.52,187.1,534.42
8840,633.15,237.73,395.42
8841,1438.05,320.89,1117.15
8842,828.95,215.69,613.26
8843,1124.14,315.65,808.49
8844,791.72,187.26,604.46
8845,905.71,227.26,678.45
8846,1337.37,328.31,1009.06
8847,982.14,245.3,736.83
8848,427.87,142.4,285.48
8849,1321.97,313.56,1008.4
8850,1218.38,302,916.38
8851,118.02,46.49,71.53
8852,538.84,117.58,421.26
8853,1284.06,347.18,936.88
8854,971.3,273.27,698.03
8855,1137.79,238.19,899.6
8856,1449.81,346.08,1103.73
8857,1588.47,412.52,1175.95
8858,926.38,218.67,707.71
8859,725.45,195.46,529.99
8860,1381.69,333.2,1048.49
8861,559.56,178,381.56
8862,1120.34,281.83,838.52
8863,0,5.11,-5.11
8864,976.92,272.78,704.14
8865,1361.93,333.77,1028.16
8866,1329,363,966
8867,770.24,153.19,617.05
8868,1506.98,347.57,1159.41
8869,548.14,203.74,344.4
8870,1044.88,243.35,801.53
8871,1022.44,231.58,790.85
8872,1307.52,339.74,967.78
8873,1090.53,239.82,850.71
8874,1446.82,351.86,1094.96
8875,1002.67,272.61,730.06
8876,835.78,249.76,586.02
8877,1333.11,332.53,1000.58
8878,1008.69,194.39,814.3
8879,1128.42,288.69,839.72
8880,1243.42,271.62,971.8
8881,1007.13,287.29,719.85
8882,1219,398.98,820.02
8883,1430.61,361.35,1069.25
8884,786.42,190.95,595.47
8885,852.61,220.51,632.1
8886,513.2,139.97,373.23
8887,1201.14,282.89,918.26
8888,1113.48,319.5,793.97
8889,835.56,179.27,656.29
8890,574.24,136.04,438.19
8891,358.53,137.74,220.79
8892,972.21,232.38,739.83
8893,836.55,315.03,521.52
8894,1282.73,338.2,944.52
8895,1093.08,281.34,811.75
8896,849.11,189.95,659.15
8897,1107,250.08,856.92
8898,777.21,175.76,601.45
8899,1138.63,292.43,846.2
8900,994.12,208.15,785.97
8901,1200.18,245.42,954.76
8902,1314.05,278.85,1035.2
8903,936.23,257.21,679.02
8904,735.88,207.19,528.69
8905,1175.58,293.05,882.53
8906,538.12,180.97,357.15
8907,1092.84,234.63,858.2
8908,884.61,213.99,670.62
8909,1454.13,321.81,1132.32
8910,1092.92,277.97,814.95
8911,1167.65,341.12,826.53
8912,486.42,149.53,336.89
8913,1348.83,336.61,1012.22
8914,1228.4,297.61,930.8
8915,492.48,111.45,381.03
8916,0,4.33,-4.33
8917,539.94,119.25,420.69
8918,763.7,165.9,597.79
8919,813.87,172.71,641.16
8920,1060.51,237.02,823.49
8921,969.98,236.8,733.18
8922,1078.68,306.78,771.9
8923,1280.75,274.95,1005.8
8924,933.59,214.51,719.07
8925,1028.58,234.75,793.83
8926,1083.19,276.93,806.25
8927,14,0.26,13.74
8928,996.2,229.93,766.26
8929,1101.45,225.93,875.52
8930,1311.45,216.04,1095.41
8931,267.18,169.45,97.73
8932,978.36,210.1,768.26
8933,1223.22,232.77,990.45
8934,902.99,177.12,725.87
8935,681.99,186.05,495.94
8936,954.57,205.77,748.8
8937,1092.39,243.86,848.53
8938,1169.85,257.03,912.82
8939,732.21,196.36,535.85
8940,1220.44,296.6,923.84
8941,920.75,197.3,723.45
8942,631.13,210.66,420.47
8943,1032.98,233.38,799.6
8944,1114.01,313.7,800.31
8945,1500.24,341.3,1158.94
8946,1309.94,328.52,981.42
8947,833.67,201.74,631.93
8948,817.73,208.56,609.17
8949,808.34,228.91,579.43
8950,1168.77,340.32,828.45
8951,890.14,225.64,664.51
8952,1169.88,285.6,884.28
8953,865.49,303.94,561.56
8954,1037,262.41,774.59
8955,1012.48,195.37,817.1
8956,1334.16,359.46,974.7
8957,1174.43,308.69,865.74
8958,1248.91,330.39,918.52
8959,316.95,144.94,172.01
8960,547.65,160.11,387.54
8961,1024.02,249.32,774.7
8962,14,48.79,-34.79
8963,1097.7,267.7,830
8964,1469.39,277.37,1192.02
8965,765.54,231.63,533.91
8966,1045.76,245.76,800
8967,709.34,216.2,493.14
8968,0,0.09,-0.09
8969,1123.86,258.88,864.98
8970,1000.79,249.51,751.28
8971,671.74,153.59,518.15
8972,1276.39,344.95,931.44
8973,745.69,269.94,475.74
8974,1420.91,360.12,1060.78
8975,638.18,182.1,456.08
8976,529.55,156.2,373.35
8977,844.39,228.04,616.35
8978,928.1,220.91,707.19
8979,418.32,127.82,290.5
8980,443.49,139.85,303.64
8981,767.91,219.28,548.62
8982,765.81,185,580.8
8983,491.19,130.91,360.27
8984,906.4,184.78,721.62
8985,1078.58,257.67,820.91
8986,767.53,136.88,630.65
8987,1216.75,294.31,922.44
8988,842.2,199.81,642.39
8989,789.8,174.9,614.91
8990,870.81,213.87,656.93
8991,1196.96,286.34,910.62
8992,1032.75,219.55,813.2
8993,924.58,241.37,683.21
8994,679.92,187.59,492.33
8995,843.33,212.88,630.45
8996,851.22,171.76,679.45
8997,439.18,155.32,283.86
8998,1258.5,294.33,964.18
8999,954.51,234.73,719.79
9000,1272.41,281.31,991.1
9001,1271.48,310.53,960.96
9002,1105.87,340.96,764.91
9003,94.69,31.68,63.01
9004,0,23.23,-23.23
9005,810.45,196.52,613.94
9006,1048.37,242.77,805.6
9007,1228.37,307.02,921.35
9008,253.38,123.4,129.99
9009,967.03,203.5,763.53
9010,1150.77,394.84,755.94
9011,876.87,229.65,647.22
9012,1026.57,225.23,801.34
9013,1207.89,304.35,903.53
9014,797.84,222.84,575
9015,1169.7,315.08,854.62
9016,944.07,304.92,639.15
9017,1108.25,243.65,864.61
9018,1107.68,313.48,794.2
9019,1128.96,308.23,820.73
9020,1057.7,359.52,698.18
9021,955.55,246.41,709.13
9022,950.4,252.39,698.01
9023,715.38,170.95,544.43
9024,1022.23,286.25,735.98
9025,1088.62,209.64,878.98
9026,745.66,237.23,508.43
9027,1003.04,194.77,808.26
9028,146.92,54.16,92.76
9029,1264.11,293.7,970.41
9030,721.07,168.67,552.4
9031,1131.73,267.19,864.54
9032,1107.99,299.17,808.82
9033,649.27,199.36,449.91
9034,821.7,210.5,611.2
9035,1063.21,267.89,795.32
9036,548.86,169.9,378.96
9037,1126.17,256.31,869.86
9038,1079.54,218.3,861.24
9039,1060.05,213.05,847
9040,1097.18,256.83,840.35
9041,884.27,215.82,668.45
9042,627.85,150.22,477.63
9043,811.84,185.81,626.03
9044,987.94,222.41,765.53
9045,751.91,144.65,607.26
9046,836.88,175.07,661.82
9047,677.19,160.57,516.62
9048,1231.3,250.07,981.23
9049,821.74,200.91,620.83
9050,964.64,202.04,762.61
9051,391.31,142.02,249.29
9052,905.12,224.69,680.43
9053,1158.49,262.46,896.03
9054,1093.5,250.94,842.56
9055,1331.4,282.26,1049.14
9056,730.48,152.81,577.66
9057,1082.13,313.32,768.81
9058,1067.84,274.03,793.81
9059,1025.69,243.68,782.01
9060,793.93,164.58,629.35
9061,931.17,217.13,714.04
9062,1319.5,328.94,990.55
9063,1440.54,337.47,1103.07
9064,1467.38,386.38,1081
9065,897.06,218.57,678.48
9066,472.9,119.7,353.2
9067,346.34,98.97,247.37
9068,806.9,159.39,647.5
